track_id,spotify_id,title,artist,duration_seconds,playlists,bpm,musical_key,camelot,energy,groove,vocal,role,key_confidence,preview_seconds,dynamic_range,harmonic_share,percussive_share,preview_url,analysis_source
spotify-28HAfQASgRFtJiJO95P0RY,28HAfQASgRFtJiJO95P0RY,Senolo,AFRONOM,252,"Techno, Afro, Soul & EDM | Afro Vibezz",123.0,D minor,7A,0.677,afro,0.469,bridge,0.62,15.61,0.1688,0.5546,0.16,https://p.scdn.co/mp3-preview/4fb92a6d0228f2abfff131534f0a6dec9a05cf66,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-0OhOvavl37Rul1t8TlBMcv,0OhOvavl37Rul1t8TlBMcv,Need U,Mydoz,167,"Techno, Afro, Soul & EDM | Afro Vibezz",123.0,A minor,8A,0.309,afro,0.536,opener,0.747,15.6,0.0329,0.5982,0.119,https://p.scdn.co/mp3-preview/bfbe3c22eef25484c19acac1d2afe0d1dca68948,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-5BhdMEXbQirRV4QYHoz96P,5BhdMEXbQirRV4QYHoz96P,Eres Para Mí - Radio Edit,Nico Falla,192,"Techno, Afro, Soul & EDM | Tech House Vibezz",126.0,B minor,10A,0.41,tech-house,0.461,builder,0.771,29.71,0.1835,0.5497,0.1863,https://p.scdn.co/mp3-preview/edf1c8504045be9f912ecf0c1bc3ddeac50e0c92,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-4OHTMdFofGPrSZJqKn4yBm,4OHTMdFofGPrSZJqKn4yBm,LA TRAVESÍA (Tech House),ToniTega,144,"Techno, Afro, Soul & EDM | Tech House Vibezz",128.0,E major,12B,0.457,tech-house,0.255,bridge,0.721,14.91,0.0861,0.4156,0.3134,https://p.scdn.co/mp3-preview/71d9d46faa8ca800a5a5c7af4f78c3fc36323c04,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-6oNdUnlUnXFDsiMY6yC1ti,6oNdUnlUnXFDsiMY6yC1ti,Happy Days - Radio Edit,Sweetpower,170,"Techno, Afro, Soul & EDM | House Vibezz",123.0,F# minor,11A,0.662,house,0.268,bridge,0.693,29.71,0.1698,0.4242,0.2663,https://p.scdn.co/mp3-preview/45c0423fb5b93b6575f3a3b4ad580e08cf59e15a,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-5ARMoO6PMW5XzN00dwTYW2,5ARMoO6PMW5XzN00dwTYW2,Suéltate,Greg Elenis,194,"Techno, Afro, Soul & EDM | House Vibezz",120.0,F minor,4A,0.694,house,0.682,bridge,0.602,16.0,0.1839,0.6935,0.1283,https://p.scdn.co/mp3-preview/37edd6a3d627cde167ae4b541efed50b2ee0502e,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-28Dw5KTUvyauj8RZnc8r2N,28Dw5KTUvyauj8RZnc8r2N,Celular,Sistek,222,"Techno, Afro, Soul & EDM | Afro Vibezz",125.0,D# major,5B,0.845,afro,0.521,peak,0.702,15.48,0.2128,0.5887,0.1928,https://p.scdn.co/mp3-preview/dadac16c32dcf1babfb8499ef8e6cecf08bcc580,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-32Yqrfs4BwDhCmF78Y3he9,32Yqrfs4BwDhCmF78Y3he9,Contigo Riddim,Malik,153,"Techno, Afro, Soul & EDM | Afro Vibezz",122.0,B minor,10A,0.488,afro,0.364,bridge,0.68,15.87,0.1467,0.4867,0.2303,https://p.scdn.co/mp3-preview/d2fb64ab8a0911c4fcd0385996c1d725288aaa4e,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-200DiJQhDi69nkGXOrrJgn,200DiJQhDi69nkGXOrrJgn,The Rapture Pt.III,"&ME, Black Coffee, Keinemusik",417,"Techno, Afro, Soul & EDM | Afro Vibezz",120.0,E minor,9A,0.694,afro,0.312,bridge,0.572,29.71,0.4036,0.4525,0.2474,https://p.scdn.co/mp3-preview/4dde4d26bba765dc65074e8ddb335199c69b145f,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
spotify-2GwsSbo6IbNDVvcm9rtmal,2GwsSbo6IbNDVvcm9rtmal,Say What,"Rampa, Adam Port, &ME, chuala, Keinemusik",181,"Techno, Afro, Soul & EDM | Afro Vibezz",120.0,D major,10B,0.786,afro,0.259,peak,0.63,16.0,0.3631,0.4186,0.298,https://p.scdn.co/mp3-preview/329550cc18a974d4dd90f156c0dbbb9fa830e078,Spotify public 30s preview; librosa 0.11 beat/chroma/HPSS/RMS/onset analysis
