track_id,spotify_id,title,artist,matched,identity_match,source_spotify_id,source_url,bpm,camelot,key_number,mode,energy,danceability,valence,instrumentalness,drive,groove,brightness,warmth,bass_weight,percussive_ratio,genres,duration_ms,search_match_type
spotify-6ho0GyrWZN3mhi9zVRW7xi,6ho0GyrWZN3mhi9zVRW7xi,Losing It,FISHER,false,,,,,,,,,,,,,,,,,,,,
spotify-5hmcw6bW5V24CvJqsz87We,5hmcw6bW5V24CvJqsz87We,On My Mind,"Diplo, SIDEPIECE",true,exact-id,5hmcw6bW5V24CvJqsz87We,https://www.mixgraph.io/tracks/diplo-on-my-mind-purple-disco-machine-remix-extended,123,6A,7,0,0.613413594,0.818025877,0.471617385,0.663388574,0.596696,0.833309,0.450686,0.600369,0.811244,0.375458,Bass House,189268,strong
spotify-5PL7k9QH7Kj7B4527dHvon,5PL7k9QH7Kj7B4527dHvon,La Verdolaga,"HUGEL, Totó La Momposina",true,exact-id,5PL7k9QH7Kj7B4527dHvon,https://www.mixgraph.io/tracks/hugel-la-verdolaga-feat-tot-la-momposina-extended-mix,124,1B,11,1,0.761418956,0.632561986,0.534105351,0.61860535,0.695119,0.695845,0.557038,0.283925,0.878868,0.472987,Afro House | Latin Dance,313000,strong
spotify-5nZ9KC7vuQe8vy7N3M5YXj,5nZ9KC7vuQe8vy7N3M5YXj,Dile,Juos,true,exact-id,5nZ9KC7vuQe8vy7N3M5YXj,https://www.mixgraph.io/tracks/juos-dile,130,7A,2,0,0.515280757,0.743146195,0.381278896,0.910706362,0.547055,0.760916,0.410505,0.163229,0.951525,0.548508,Tech House | Latin Tech,268000,strong
spotify-3szSyYRapmpvq9UKU3drwy,3szSyYRapmpvq9UKU3drwy,"Right Here, Right Now - Rework","Fatboy Slim, Topic, Marco Generani",false,,,,,,,,,,,,,,,,,,,,
spotify-2SYt3HZ7dZ8EyvvrsJBrS6,2SYt3HZ7dZ8EyvvrsJBrS6,Loco,Tony Dark Eyes,false,,,,,,,,,,,,,,,,,,,,
spotify-3fwmJrwHkJrUcybkmTU8pd,3fwmJrwHkJrUcybkmTU8pd,Shingaling Shingaling,"Cumbiafrica, Lost Minds, Reebs",true,exact-id,3fwmJrwHkJrUcybkmTU8pd,https://www.mixgraph.io/tracks/reebs-shingaling-shingaling-extended-mix,128,10B,2,1,0.626268261,0.624757055,0.45643925,0.756789636,0.613907,0.75294,0.595451,0.210313,0.88,0.482078,House,315468,strong
spotify-46d9wSmQTSyBrJKQ9YwNHb,46d9wSmQTSyBrJKQ9YwNHb,Cap,Enzo is Burning,false,,,,,,,,,,,,,,,,,,,,
spotify-4FHXsehfIbyPCJLP7fCnIF,4FHXsehfIbyPCJLP7fCnIF,Ritmo,Raffa Fl,false,,,,,,,,,,,,,,,,,,,,
spotify-7DxrTNmUprBMQ0RV45xreb,7DxrTNmUprBMQ0RV45xreb,Verano En NY,Toman,true,exact-id,7DxrTNmUprBMQ0RV45xreb,https://www.mixgraph.io/tracks/toman-verano-en-ny,126,9B,7,1,0.541177142,0.599420406,0.464515631,0.776327546,0.526272,0.747156,0.528018,0.248712,0.922295,0.483885,Tech House | Latin Tech,261000,strong
spotify-0FIAB3qd9n8Va9rhmRjteH,0FIAB3qd9n8Va9rhmRjteH,La La La,"Sinego, Fernando Milagros, Daybreaker, Benziê",false,,,,,,,,,,,,,,,,,,,,
spotify-3wlEt7tgbcyowpdlcnCwfz,3wlEt7tgbcyowpdlcnCwfz,Sauti,"Francis Mercier, Faul & Wad, African Children's Choir",true,exact-id,3wlEt7tgbcyowpdlcnCwfz,https://www.mixgraph.io/tracks/francis-mercier-sauti,122,7A,2,0,0.33468943,0.805799985,0.438785087,0.340393516,0.444415,0.526954,0.501916,1,0.573102,0.415954,Afro House | Afro Melodic,348196,strong
spotify-5Lm6Vl5RjOF77si7Tv5Usz,5Lm6Vl5RjOF77si7Tv5Usz,Tambora,"Faul & Wad, MESTIZA, Martina Camargo",true,exact-id,5Lm6Vl5RjOF77si7Tv5Usz,https://www.mixgraph.io/tracks/martina-camargo-tambora-extended-mix,125,1B,11,1,0.472382463,0.786600071,0.466478125,0.585523127,0.44501,0.865031,0.563441,0.4012,0.886462,0.537528,Afro House,208290,strong
spotify-5XOzAn4HqJDrjDHt65rt7L,5XOzAn4HqJDrjDHt65rt7L,Bailalo,RAFFA GUIDO,true,exact-id,5XOzAn4HqJDrjDHt65rt7L,https://www.mixgraph.io/tracks/raffa-guido-bailalo-extended-mix,122,3A,10,0,0.853407941,0.856615042,0.359962908,0.797219589,0.62839,0.861448,0.36234,0.356886,0.893782,0.483546,Afro House | Afro Melodic,267742,strong
spotify-6rR9j58vyiStN9CefIGVm7,6rR9j58vyiStN9CefIGVm7,Mi Alma,Dennis Cartier,true,exact-id,6rR9j58vyiStN9CefIGVm7,https://www.mixgraph.io/tracks/dennis-cartier-mi-alma-extended-mix,122,9A,4,0,0.462487831,0.782525289,0.414139436,0.776221847,0.442868,0.937196,0.781929,0.168263,0.926271,0.490933,Afro House,283770,strong
spotify-7IUGkB1cmE78vv9wlYtfER,7IUGkB1cmE78vv9wlYtfER,Coge El Paso,"HUGEL, DERON, La Payara",false,,,,,,,,,,,,,,,,,,,,
spotify-6SeZObDDZZiJmzY4qgfh57,6SeZObDDZZiJmzY4qgfh57,Capitale,Illyus Barrientos,true,exact-id,6SeZObDDZZiJmzY4qgfh57,https://www.mixgraph.io/tracks/illyus-barrientos-capitale-extended-mix,125,11A,6,0,0.620152739,0.691896424,0.482342789,0.87124524,0.530604,0.845122,0.509492,0.199969,0.902792,0.453831,House,344220,strong
spotify-7e9eZ3JJ0JPkfNNrLsWBt5,7e9eZ3JJ0JPkfNNrLsWBt5,Velvet Night,WOGEL,false,,,,,,,,,,,,,,,,,,,,
spotify-7q7xQ91AWU1PFni84RznU9,7q7xQ91AWU1PFni84RznU9,Conga - Radio Edit,Massivedrum,false,,,,,,,,,,,,,,,,,,,,
spotify-2NPOfAcuPVBilgRETr0qJq,2NPOfAcuPVBilgRETr0qJq,Heaven (feat. Yousra),"Tomas Grey, Yousra",false,,,,,,,,,,,,,,,,,,,,
spotify-5PI6kX5XDbiLsTjX7qJjE2,5PI6kX5XDbiLsTjX7qJjE2,Don't Wake Us Up - Extended Mix,"JOA, James Carter",true,exact-id,5PI6kX5XDbiLsTjX7qJjE2,https://www.mixgraph.io/tracks/james-carter-dont-wake-us-up-extended-mix,132,3A,10,0,0.562067271,0.62817618,0.403844091,0.786655662,0.537205,0.897809,0.386419,0.175687,0.87919,0.44509,Mainstage,245063,strong
spotify-1dZufI94FSPvNcHzbr0nT2,1dZufI94FSPvNcHzbr0nT2,Missing Part of Me,JOA,false,,,,,,,,,,,,,,,,,,,,
spotify-55Zql8avsQO7zPiBqJvFAI,55Zql8avsQO7zPiBqJvFAI,SINCE '06,ASK YOUR FRIENDS,false,,,,,,,,,,,,,,,,,,,,
